DATE,XTIMVA01ESM667S
2017-12-01,32512262489.999996
2018-01-01,33302234770.0
2018-02-01,32698869910.0
2018-03-01,33042260860.0
2018-04-01,34256091939.999996
2018-05-01,31964371040.0
2018-06-01,32693716449.999996
2018-07-01,33020963020.000004
2018-08-01,31902966880.0
2018-09-01,32205062870.0
2018-10-01,33096536649.999996
2018-11-01,31205215160.0
2018-12-01,31607892420.0
2019-01-01,31026010200.0
2019-02-01,31249765990.0
2019-03-01,31902133190.0
2019-04-01,30330174320.0
2019-05-01,32012765799.999996
2019-06-01,31123972370.0
2019-07-01,30992134710.0
2019-08-01,30843017930.0
2019-09-01,31410619120.0
2019-10-01,30219413000.0
2019-11-01,30523666960.0
2019-12-01,30439241740.0
2020-01-01,31007648360.0
2020-02-01,30922465360.0
2020-03-01,26054962920.0
2020-04-01,18407536670.0
2020-05-01,20136139210.0
2020-06-01,23749998720.0
2020-07-01,26551809970.0
2020-08-01,28236547630.0
2020-09-01,29312160700.0
2020-10-01,29755423970.0
2020-11-01,29755317790.0
2020-12-01,31223273640.0
2021-01-01,31174464830.0
2021-02-01,31752634430.0
2021-03-01,32596521490.0
2021-04-01,33053407059.999996
2021-05-01,34069860900.0
2021-06-01,33995159979.999996
2021-07-01,34016821229.999996
2021-08-01,35559325840.0
2021-09-01,35510922720.0
2021-10-01,37240833560.0
2021-11-01,39019581110.0
2021-12-01,38939166720.0
2022-01-01,41118800370.0
2022-02-01,41029236260.0
2022-03-01,39095251920.0
2022-04-01,42215365780.0
2022-05-01,41344549450.0
