DATE,CPALTT01ESM657N
2016-12-01,0.592141437
2017-01-01,-0.549762435
2017-02-01,-0.359373844
2017-03-01,-0.021215882
2017-04-01,0.96022239
2017-05-01,-0.059902894
2017-06-01,0.043113873
2017-07-01,-0.68952469
2017-08-01,0.1989797
2017-09-01,0.174289638
2017-10-01,0.922655138
2017-11-01,0.456587608
2017-12-01,0.044723184
2018-01-01,-1.078074644
2018-02-01,0.134520194
2018-03-01,0.117547045
2018-04-01,0.826056419
2018-05-01,0.901425437
2018-06-01,0.261726156
2018-07-01,-0.717354217
2018-08-01,0.142851228
2018-09-01,0.24394782
2018-10-01,0.924952051
2018-11-01,-0.109323116
2018-12-01,-0.449022175
2019-01-01,-1.278139095
2019-02-01,0.244575116
2019-03-01,0.362333887
2019-04-01,1.008596344
2019-05-01,0.194584409
2019-06-01,-0.117546047
2019-07-01,-0.620145519
2019-08-01,-0.055605326
2019-09-01,0.0
2019-10-01,0.97054369
2019-11-01,0.169386027
2019-12-01,-0.072325731
2020-01-01,-0.975574947
2020-02-01,-0.118387054
2020-03-01,-0.38341029
2020-04-01,0.302114804
2020-05-01,-0.00618914
2020-06-01,0.461119478
2020-07-01,-0.897468809
2020-08-01,0.045590658
2020-09-01,0.150173476
2020-10-01,0.525336091
2020-11-01,0.163566785
2020-12-01,0.212597697
2021-01-01,0.009223769
2021-02-01,-0.589241979
2021-03-01,0.970023091
2021-04-01,1.180206026
2021-05-01,0.471217396
2021-06-01,0.47603744
2021-07-01,-0.753653319
2021-08-01,0.454215848
2021-09-01,0.834143749
2021-10-01,1.839423316
2021-11-01,0.305589456
2021-12-01,1.194300064
2022-01-01,-0.382821142
2022-02-01,0.807206929
2022-03-01,3.029606429
2022-04-01,-0.177565402
2022-05-01,0.826076834
2022-06-01,1.851988694
