DATE,XTIMVA01PLM664S
2017-03-01,76345247680.0
2017-04-01,67668707549.99999
2017-05-01,74384558730.0
2017-06-01,72838475610.0
2017-07-01,70745754720.0
2017-08-01,73683725840.0
2017-09-01,74725429430.0
2017-10-01,73136836010.0
2017-11-01,76337355950.0
2017-12-01,77449737020.0
2018-01-01,79345110130.0
2018-02-01,75820121220.0
2018-03-01,78872996410.0
2018-04-01,76828812860.0
2018-05-01,78627055410.0
2018-06-01,82955488580.0
2018-07-01,81449912060.0
2018-08-01,84875736030.0
2018-09-01,79786978810.0
2018-10-01,85495737670.0
2018-11-01,84927649950.0
2018-12-01,81410286060.0
2019-01-01,84897664230.0
2019-02-01,85983094370.0
2019-03-01,83363877310.0
2019-04-01,85083500890.0
2019-05-01,88994666030.0
2019-06-01,78669164930.0
2019-07-01,86617003940.0
2019-08-01,84763054470.0
2019-09-01,85377102460.0
2019-10-01,87712508740.0
2019-11-01,83351856490.0
2019-12-01,83152867680.0
2020-01-01,89572224800.0
2020-02-01,87076622500.0
2020-03-01,84650612000.0
2020-04-01,65809486879.99999
2020-05-01,69212142920.0
2020-06-01,76197715030.0
2020-07-01,87392550100.0
2020-08-01,83109556460.0
2020-09-01,91086597530.0
2020-10-01,91687035380.0
2020-11-01,93125817460.0
2020-12-01,95598795240.0
2021-01-01,91812016900.0
2021-02-01,97959855300.0
2021-03-01,107492892500.0
2021-04-01,102066421800.0
2021-05-01,105227308800.0
2021-06-01,106590754100.0
2021-07-01,108150362100.0
2021-08-01,113203750800.0
2021-09-01,112027256800.0
2021-10-01,110797173200.0
2021-11-01,122134284200.0
2021-12-01,129490697899.99998
2022-01-01,127271445100.0
2022-02-01,127395436100.0
2022-03-01,144319117400.0
2022-04-01,139290247000.0
2022-05-01,139650962500.0
