DATE,CPALTT01ITM659N
2015-12-01,0.093283582
2016-01-01,0.252808989
2016-02-01,-0.321828358
2016-03-01,-0.214352283
2016-04-01,-0.5
2016-05-01,-0.292750929
2016-06-01,-0.378014842
2016-07-01,-0.085886722
2016-08-01,-0.071825765
2016-09-01,0.1
2016-10-01,-0.185701021
2016-11-01,0.086206897
2016-12-01,0.48695247
2017-01-01,1.004016064
2017-02-01,1.609657948
2017-03-01,1.40562249
2017-04-01,1.909547739
2017-05-01,1.402805611
2017-06-01,1.201201201
2017-07-01,1.098901099
2017-08-01,1.196410768
2017-09-01,1.098901099
2017-10-01,1.0
2017-11-01,0.900900901
2017-12-01,0.897308076
2018-01-01,0.894632207
2018-02-01,0.495049505
2018-03-01,0.792079208
2018-04-01,0.493096647
2018-05-01,0.988142292
2018-06-01,1.285855589
2018-07-01,1.482213439
2018-08-01,1.57635468
2018-09-01,1.383399209
2018-10-01,1.584158416
2018-11-01,1.587301587
2018-12-01,1.086956522
2019-01-01,0.886699507
2019-02-01,0.985221675
2019-03-01,0.982318271
2019-04-01,1.079489696
2019-05-01,0.782778865
2019-06-01,0.68359375
2019-07-01,0.389483934
2019-08-01,0.387972842
2019-09-01,0.292397661
2019-10-01,0.194931774
2019-11-01,0.1953125
2019-12-01,0.488758553
2020-01-01,0.48828125
2020-02-01,0.292682927
2020-03-01,0.097276265
2020-04-01,0.0
2020-05-01,-0.194174757
2020-06-01,-0.193986421
2020-07-01,-0.387972842
2020-08-01,-0.483091787
2020-09-01,-0.583090379
2020-10-01,-0.291828794
2020-11-01,-0.194931774
2020-12-01,-0.194552529
2021-01-01,0.388726919
2021-02-01,0.583657588
2021-03-01,0.777453839
2021-04-01,1.067961165
2021-05-01,1.26459144
2021-06-01,1.263362488
2021-07-01,1.947419669
2021-08-01,2.038834951
2021-09-01,2.541544477
2021-10-01,3.024390244
2021-11-01,3.7109375
2021-12-01,3.898635478
2022-01-01,4.840271055
2022-02-01,5.705996132
2022-03-01,6.460945034
2022-04-01,5.95581172
2022-05-01,6.820365034
2022-06-01,7.965451056
