DATE,XTIMVA01DEM667S
2007-01-01,80318637840.0
2007-02-01,85487651970.0
2007-03-01,83180181630.0
2007-04-01,87443938100.0
2007-05-01,84413785130.0
2007-06-01,86709319720.0
2007-07-01,86503250570.0
2007-08-01,89632611910.0
2007-09-01,89431507250.0
2007-10-01,92010764490.0
2007-11-01,94403603420.0
2007-12-01,99010266370.0
2008-01-01,99293447910.0
2008-02-01,99886661930.0
2008-03-01,104364930100.0
2008-04-01,104485020100.0
2008-05-01,104339855700.0
2008-06-01,103341589500.0
2008-07-01,110516449700.0
2008-08-01,103378774300.0
2008-09-01,98606481900.0
2008-10-01,89365360420.0
2008-11-01,82029003940.0
2008-12-01,82736220210.0
2009-01-01,77341817220.0
2009-02-01,72497277910.0
2009-03-01,72526584080.0
2009-04-01,71868163000.0
2009-05-01,70816082230.0
2009-06-01,73768283590.0
2009-07-01,75753767000.0
2009-08-01,78463338090.0
2009-09-01,83667885050.0
2009-10-01,82955407410.0
2009-11-01,80652509080.0
2009-12-01,82142898770.0
2010-01-01,83766619060.0
2010-02-01,79732092770.0
2010-03-01,86615061060.0
2010-04-01,83405236240.0
2010-05-01,85264852730.0
2010-06-01,83819059780.0
2010-07-01,87050438830.0
2010-08-01,87667788260.0
2010-09-01,88427014160.0
2010-10-01,94271805560.0
2010-11-01,95701090730.0
2010-12-01,92051666090.0
2011-01-01,96445993410.0
2011-02-01,100924957300.0
2011-03-01,103512472600.0
2011-04-01,108655555600.0
2011-05-01,106493544200.0
2011-06-01,109187964900.0
2011-07-01,108820597200.0
2011-08-01,108480418800.0
2011-09-01,103972489700.0
2011-10-01,104266111300.0
2011-11-01,101111549600.0
2011-12-01,97308258640.0
2012-01-01,94383483870.0
2012-02-01,101026214900.0
2012-03-01,100719637400.0
2012-04-01,97456895800.0
2012-05-01,98190467720.0
2012-06-01,93734312320.0
2012-07-01,92205918480.0
2012-08-01,93809535110.0
2012-09-01,96570031530.0
2012-10-01,98754271040.0
2012-11-01,93750568750.0
2012-12-01,97059986250.0
2013-01-01,99857180850.0
2013-02-01,97335467950.0
2013-03-01,95355646700.0
2013-04-01,95814161390.0
2013-05-01,97575069510.0
2013-06-01,98038192110.0
2013-07-01,96794817920.0
2013-08-01,100384459900.0
2013-09-01,97697794990.0
2013-10-01,102258556600.0
2013-11-01,100114178900.0
2013-12-01,101613064200.0
2014-01-01,103598571900.0
2014-02-01,104343447000.0
2014-03-01,104227700200.0
2014-04-01,103739996800.0
2014-05-01,100995156800.0
2014-06-01,104944805100.0
2014-07-01,101404472600.0
2014-08-01,100322937200.0
2014-09-01,99630471610.0
2014-10-01,96720926030.0
2014-11-01,94959993410.0
2014-12-01,93017439030.0
2015-01-01,88807719270.0
2015-02-01,88149399870.0
2015-03-01,85579701450.0
2015-04-01,85281864890.0
2015-05-01,88779018050.0
2015-06-01,88235116580.0
2015-07-01,88412783470.0
2015-08-01,87473488870.0
2015-09-01,90091227410.0
2015-10-01,88567456570.0
2015-11-01,84520943000.0
2015-12-01,83546182180.0
2016-01-01,85943939980.0
2016-02-01,88810123710.0
2016-03-01,86386696620.0
2016-04-01,87048498850.0
2016-05-01,87073126370.0
2016-06-01,88185604240.0
2016-07-01,86607884770.0
2016-08-01,89121882880.0
2016-09-01,89402997930.0
2016-10-01,88754135360.0
2016-11-01,87751743740.0
2016-12-01,85882260510.0
2017-01-01,89239057540.0
2017-02-01,89084955350.0
2017-03-01,91294891760.0
2017-04-01,92210440830.0
2017-05-01,95209120280.0
2017-06-01,94561265520.0
2017-07-01,98675976940.0
2017-08-01,101900443100.0
2017-09-01,101766534100.0
2017-10-01,100515668600.0
2017-11-01,103399616100.0
2017-12-01,104546492100.0
2018-01-01,108655288500.0
2018-02-01,108388961500.0
2018-03-01,107725064800.0
2018-04-01,109882061500.0
2018-05-01,106640489800.0
2018-06-01,106184485600.0
2018-07-01,110038677600.0
2018-08-01,106143807300.0
2018-09-01,107772815100.0
2018-10-01,106216920200.0
2018-11-01,103707897400.0
2018-12-01,104440793900.0
2019-01-01,107575250600.0
2019-02-01,104798876300.0
2019-03-01,103920094900.0
2019-04-01,102728412100.0
2019-05-01,102366770400.0
2019-06-01,103905646000.0
2019-07-01,102454923700.0
2019-08-01,101200947800.0
2019-09-01,101857330900.0
2019-10-01,102090765200.0
2019-11-01,101137208400.0
2019-12-01,100955042400.0
2020-01-01,104352611500.0
2020-02-01,99780357600.0
2020-03-01,94736277460.0
2020-04-01,78456896830.0
2020-05-01,81271557060.0
2020-06-01,89292924120.0
2020-07-01,93911246610.0
2020-08-01,102240862500.0
2020-09-01,103145781100.0
2020-10-01,102944061100.0
2020-11-01,107409540800.0
2020-12-01,109114100900.0
2021-01-01,108579913300.0
2021-02-01,110965788700.0
2021-03-01,115007436400.0
2021-04-01,115141909600.0
2021-05-01,119735252800.0
2021-06-01,118935590800.0
2021-07-01,115684152600.0
2021-08-01,116478832300.0
2021-09-01,117871287700.0
2021-10-01,121287144000.0
2021-11-01,123159687500.0
2021-12-01,128337413300.00002
2022-01-01,124560403900.0
2022-02-01,129734273500.0
2022-03-01,131751187499.99998
2022-04-01,132932423699.99998
2022-05-01,133610322400.0
