DATE,XTIMVA01ITM664S
2014-07-01,29998900000.0
2014-08-01,29886200000.0
2014-09-01,30438600000.0
2014-10-01,29662800000.0
2014-11-01,29987700000.0
2014-12-01,28930600000.0
2015-01-01,29746700000.0
2015-02-01,30100400000.0
2015-03-01,31321000000.0
2015-04-01,31699800000.0
2015-05-01,31413600000.0
2015-06-01,32122400000.0
2015-07-01,30855600000.0
2015-08-01,29902200000.0
2015-09-01,30940800000.0
2015-10-01,30564700000.0
2015-11-01,30257900000.0
2015-12-01,30247900000.0
2016-01-01,30331800000.0
2016-02-01,30548600000.0
2016-03-01,29940100000.0
2016-04-01,30172300000.0
2016-05-01,30355400000.0
2016-06-01,30516200000.0
2016-07-01,30476800000.0
2016-08-01,31132500000.0
2016-09-01,30606000000.0
2016-10-01,31300200000.0
2016-11-01,31633200000.0
2016-12-01,31738700000.0
2017-01-01,32322600000.0
2017-02-01,33229500000.0
2017-03-01,33246600000.0
2017-04-01,32640700000.000004
2017-05-01,34190100000.0
2017-06-01,33494799999.999996
2017-07-01,33734000000.0
2017-08-01,33706500000.0
2017-09-01,33082000000.0
2017-10-01,33460400000.0
2017-11-01,34797800000.0
2017-12-01,34996500000.0
2018-01-01,34931900000.0
2018-02-01,34037100000.000004
2018-03-01,34452100000.0
2018-04-01,34736900000.0
2018-05-01,34896600000.0
2018-06-01,36264400000.0
2018-07-01,35997600000.0
2018-08-01,36039100000.0
2018-09-01,36558000000.0
2018-10-01,36993700000.0
2018-11-01,36327900000.0
2018-12-01,36692900000.0
2019-01-01,35696100000.0
2019-02-01,35194600000.0
2019-03-01,35464500000.0
2019-04-01,35340100000.0
2019-05-01,35676000000.0
2019-06-01,35962200000.0
2019-07-01,35576600000.0
2019-08-01,35470800000.0
2019-09-01,36192900000.0
2019-10-01,35169700000.0
2019-11-01,35342600000.0
2019-12-01,34889700000.0
2020-01-01,36232700000.0
2020-02-01,35685200000.0
2020-03-01,28046300000.0
2020-04-01,22991200000.0
2020-05-01,25130600000.0
2020-06-01,28673800000.0
2020-07-01,30855900000.0
2020-08-01,31990800000.0
2020-09-01,32881500000.000004
2020-10-01,33736400000.000004
2020-11-01,33577399999.999996
2020-12-01,33471500000.0
2021-01-01,34147500000.0
2021-02-01,34457300000.0
2021-03-01,36200100000.0
2021-04-01,37080900000.0
2021-05-01,37582600000.0
2021-06-01,37543400000.0
2021-07-01,39013800000.0
2021-08-01,40169000000.0
2021-09-01,41152800000.0
2021-10-01,43051000000.0
2021-11-01,44551400000.0
2021-12-01,46697300000.0
2022-01-01,47708000000.0
2022-02-01,50007900000.0
2022-03-01,50856000000.0
2022-04-01,54130200000.0
2022-05-01,53661800000.0
